Dataset,BestValue,WorstValue,MeanValue,VarValue,MinTime,MaxTime,MeanTime,VarTime,Runs
body,1.1362993600e+05,1.1373473200e+05,1.1367115660e+05,2.4687066212e+03,0.2500,10.5100,8.4580,16.8428,10
breast_cancer,1.3752438800e+08,1.3791726500e+08,1.3772082650e+08,3.8588084280e+10,0.2900,0.3200,0.3060,0.0001,10
glass,5.0521409300e+02,5.1741166800e+02,5.1063006490e+02,1.9367958057e+01,0.1500,0.1900,0.1630,0.0002,10
image_segmentation,2.1414446000e+07,2.2313939000e+07,2.1669050590e+07,6.3479302127e+10,7.1500,13.2700,10.0570,4.1475,10
ionosphere,2.4339774500e+03,2.4359855400e+03,2.4353800500e+03,8.0511931423e-01,0.1700,3.6500,2.9550,1.9321,10
iris,8.1367200000e+01,8.1367200000e+01,8.1367200000e+01,-2.7284841053e-12,0.4200,0.4200,0.4200,-0.0000,10
libra,6.4719307700e+07,6.5598082700e+07,6.5125537050e+07,6.2852614000e+10,0.5400,2.1300,0.9930,0.2034,10
multiple_features_reduced,1.7520277300e+06,1.8071955000e+06,1.7701750400e+06,2.6802388514e+08,7.5700,24.2800,11.8680,28.2527,10
synthetic_control,1.0018247200e+06,1.0036287100e+06,1.0025163100e+06,5.2426289929e+05,0.6500,16.9800,14.6471,32.6533,7
thyroid,3.4413245800e+04,3.4434527200e+04,3.4426014640e+04,1.0869551682e+02,1.4500,1.4500,1.4500,0.0000,10
user_knowledge,7.0209349500e+01,7.1712853000e+01,7.0915897250e+01,3.2729843878e-01,0.3300,12.3500,1.8450,12.4305,10
vehicle,2.8943213600e+06,2.9286120300e+06,2.8980782570e+06,1.0380371789e+08,1.9000,45.6600,15.3950,392.6532,10
vowel,1.8565952900e+07,2.0254135100e+07,1.9646230967e+07,2.6726180491e+11,2.0000,127.8600,22.6111,1456.2221,9
water,7.7467996500e+09,7.9528866500e+09,7.8697139170e+09,9.2285366040e+15,0.5800,0.7500,0.6820,0.0029,10
wine,3.7672745100e+06,3.8262992800e+06,3.7913810680e+06,8.1326545489e+08,0.6000,0.6000,0.6000,0.0000,10
yeast,5.3317490000e+01,5.4032814300e+01,5.3513051490e+01,3.9845986240e-02,4.7500,15.9600,8.9550,10.5272,10
