Dataset,BestValue,WorstValue,MeanValue,VarValue,MinTime,MaxTime,MeanTime,VarTime,Runs
body,1.1362993600e+05,1.1373106300e+05,1.1368049950e+05,2.5566675339e+03,0.1300,0.1700,0.1540,0.0002,10
breast_cancer,1.3752438800e+08,1.3791726500e+08,1.3768153880e+08,3.7044560908e+10,0.1900,19.6400,2.1710,33.9081,10
glass,5.0847051900e+02,5.1482645600e+02,5.1157690280e+02,5.6537095697e+00,0.2300,2.3100,1.1400,0.3748,10
image_segmentation,2.1083670400e+07,2.1374558900e+07,2.1220705190e+07,9.9357742806e+09,295.6800,1827.5400,1140.3490,233757.3934,10
ionosphere,2.4339774500e+03,2.4359641600e+03,2.4345734630e+03,8.2887349185e-01,0.0600,0.0900,0.0730,0.0001,10
iris,8.1367200000e+01,8.1367200000e+01,8.1367200000e+01,-2.7284841053e-12,0.0000,0.0200,0.0120,0.0000,10
libra,6.3909427900e+07,6.4109921900e+07,6.4030078110e+07,4.5243966735e+09,3.2800,8.3600,7.2810,2.0191,10
multiple_features_reduced,1.7512054500e+06,1.7611037300e+06,1.7529090880e+06,7.9592793491e+06,1566.1000,2211.3500,1816.4600,36035.2598,10
synthetic_control,1.0018247200e+06,1.0022105800e+06,1.0020176500e+06,3.7221984863e+04,2.9300,16.3900,8.8890,17.0923,10
thyroid,3.4413245800e+04,3.4513675000e+04,3.4439716060e+04,1.4523995740e+03,0.0300,1.1200,0.3490,0.2182,10
user_knowledge,7.0210908400e+01,7.1036418700e+01,7.0438371460e+01,9.2759480092e-02,1.0000,12.2700,5.4820,13.8913,10
vehicle,2.8943213600e+06,2.8944201300e+06,2.8943608680e+06,2.3413242188e+03,2.0300,27.7700,7.2290,53.0487,10
vowel,1.9548041900e+07,1.9590636800e+07,1.9567561190e+07,1.5356305969e+08,12.3000,76.7800,36.0880,319.2338,10
water,7.7445125300e+09,7.9349591800e+09,7.8228795890e+09,8.2011431313e+15,2.7300,22.6900,16.2930,54.8145,10
wine,3.7672745100e+06,3.8262992800e+06,3.7856441410e+06,7.0882997109e+08,0.0200,0.4400,0.1040,0.0258,10
yeast,5.3256148300e+01,5.3308617900e+01,5.3276780300e+01,2.4896550667e-04,51.0700,247.9500,149.8040,3422.1842,10
