Dataset,BestValue,WorstValue,MeanValue,VarValue,MinTime,MaxTime,MeanTime,VarTime,Runs
body,1.1362993600e+05,1.1373106300e+05,1.1368049950e+05,2.5566675339e+03,0.2000,0.2500,0.2290,0.0002,10
breast_cancer,1.3752438800e+08,1.3791726500e+08,1.3772082650e+08,3.8588084280e+10,0.2800,0.4500,0.3390,0.0022,10
glass,5.0847051900e+02,5.1521881000e+02,5.1162961830e+02,5.9190433507e+00,0.3600,2.3400,1.3120,0.3600,10
image_segmentation,2.1086354200e+07,2.1404224700e+07,2.1263733020e+07,8.8979066820e+09,309.0800,1700.6800,1043.6290,237859.8201,10
ionosphere,2.4339774500e+03,2.4359641600e+03,2.4345734630e+03,8.2887349185e-01,0.1000,0.1500,0.1130,0.0002,10
iris,8.1367200000e+01,8.1367200000e+01,8.1367200000e+01,-2.7284841053e-12,0.0100,0.0400,0.0210,0.0001,10
libra,6.3909790900e+07,6.4123791700e+07,6.4059612690e+07,5.2479053825e+09,2.4000,8.3600,6.7340,4.5147,10
multiple_features_reduced,1.7512960100e+06,1.7674791400e+06,1.7549482860e+06,2.5385323508e+07,684.4300,2217.3100,1609.4850,333119.8597,10
synthetic_control,1.0018247200e+06,1.0022193600e+06,1.0020965780e+06,3.1685343262e+04,4.3500,15.5300,9.4490,13.5534,10
thyroid,3.4413245800e+04,3.4513675000e+04,3.4459801900e+04,2.0028086340e+03,0.0500,1.4200,0.2010,0.1652,10
user_knowledge,7.0210908400e+01,7.1085884400e+01,7.0454228050e+01,9.6019500665e-02,1.3800,12.2500,5.8050,15.7084,10
vehicle,2.8943213600e+06,2.8944201300e+06,2.8943608680e+06,2.3413242188e+03,2.9800,40.0400,10.4370,110.2193,10
vowel,1.9548041900e+07,1.9590636800e+07,1.9567561190e+07,1.5356305969e+08,17.9100,109.2700,52.3460,647.2848,10
water,7.7449268800e+09,7.9349591800e+09,7.8241715540e+09,8.0210975946e+15,4.0500,23.4600,13.7640,36.8725,10
wine,3.7672745100e+06,3.8262992800e+06,3.7858096910e+06,7.0299444749e+08,0.0300,0.5900,0.0910,0.0277,10
yeast,5.3256148300e+01,5.3308617900e+01,5.3276780300e+01,2.4896550667e-04,73.4400,359.0100,215.5600,7051.0822,10
