Dataset,BestValue,WorstValue,MeanValue,VarValue,MinTime,MaxTime,MeanTime,VarTime,Runs
body,1.1362993600e+05,1.1373106300e+05,1.1368049950e+05,2.5566675339e+03,0.2000,0.2600,0.2390,0.0004,10
breast_cancer,1.3752438800e+08,1.3791726500e+08,1.3772082650e+08,3.8588084280e+10,0.2900,0.4300,0.3400,0.0014,10
glass,5.0847051900e+02,5.1521881000e+02,5.1162584100e+02,5.9196987285e+00,0.3500,2.4900,1.3760,0.4837,10
ionosphere,2.4339774500e+03,2.4359641600e+03,2.4345734630e+03,8.2887349185e-01,0.1000,0.1400,0.1130,0.0001,10
iris,8.1367200000e+01,8.1367200000e+01,8.1367200000e+01,-2.7284841053e-12,0.0100,0.0300,0.0220,0.0001,10
libra,6.3909877000e+07,6.4123791700e+07,6.4059656740e+07,5.2482628725e+09,2.4400,8.3600,6.7520,4.2922,10
synthetic_control,1.0018247200e+06,1.0022193600e+06,1.0020965780e+06,3.1685343262e+04,4.3600,15.5800,9.4000,13.5313,10
user_knowledge,7.0210908400e+01,7.1085884400e+01,7.0454228050e+01,9.6019500665e-02,1.4100,12.3100,5.8880,15.9275,10
vehicle,2.8943213600e+06,2.8944201300e+06,2.8943608680e+06,2.3413242188e+03,2.9600,40.1100,10.4750,110.4624,10
vowel,1.9548041900e+07,1.9590636800e+07,1.9567561190e+07,1.5356305969e+08,18.6800,111.1700,53.5160,668.7428,10
water,7.7449268800e+09,7.9349591800e+09,7.8241715540e+09,8.0210975946e+15,4.1300,23.6600,13.8700,37.3741,10
wine,3.7672745100e+06,3.8262992800e+06,3.7858096910e+06,7.0299444749e+08,0.0200,0.6000,0.0920,0.0287,10
